Time,Amplitude
0,0.0000
1.44,0.0040
2.88,0.0080
4.32,0.0120
5.76,0.0160
7.2,0.0200
8.64,0.0240
10.08,0.0280
11.52,0.0320
12.96,0.0360
14.4,0.0400
15.84,0.0440
17.28,0.0480
18.72,0.0520
20.16,0.0560
21.6,0.0600
23.04,0.0640
24.48,0.0680
25.92,0.0720
27.36,0.0760
28.8,0.0800
30.24,0.0840
31.68,0.0880
33.12,0.0920
34.56,0.0960
36,0.1000
37.44,0.1040
38.88,0.1080
40.32,0.1120
41.76,0.1160
43.2,0.1200
44.64,0.1240
46.08,0.1280
47.52,0.1320
48.96,0.1360
50.4,0.1400
51.84,0.1440
53.28,0.1480
54.72,0.1520
56.16,0.1560
57.6,0.1600
59.04,0.1640
60.48,0.1680
61.92,0.1720
63.36,0.1760
64.8,0.1800
66.24,0.1840
67.68,0.1880
69.12,0.1920
70.56,0.1960
72,0.2000
73.44,0.2040
74.88,0.2080
76.32,0.2120
77.76,0.2160
79.2,0.2200
80.64,0.2240
82.08,0.2280
83.52,0.2320
84.96,0.2360
86.4,0.2400
87.84,0.2440
89.28,0.2480
90.72,0.2520
92.16,0.2560
93.6,0.2600
95.04,0.2640
96.48,0.2680
97.92,0.2720
99.36,0.2760
100.8,0.2800
102.24,0.2840
103.68,0.2880
105.12,0.2920
106.56,0.2960
108,0.3000
109.44,0.3040
110.88,0.3080
112.32,0.3120
113.76,0.3160
115.2,0.3200
116.64,0.3240
118.08,0.3280
119.52,0.3320
120.96,0.3360
122.4,0.3400
123.84,0.3440
125.28,0.3480
126.72,0.3520
128.16,0.3560
129.6,0.3600
131.04,0.3640
132.48,0.3680
133.92,0.3720
135.36,0.3760
136.8,0.3800
138.24,0.3840
139.68,0.3880
141.12,0.3920
142.56,0.3960
144,0.4000
145.44,0.4040
146.88,0.4080
148.32,0.4120
149.76,0.4160
151.2,0.4200
152.64,0.4240
154.08,0.4280
155.52,0.4320
156.96,0.4360
158.4,0.4400
159.84,0.4440
161.28,0.4480
162.72,0.4520
164.16,0.4560
165.6,0.4600
167.04,0.4640
168.48,0.4680
169.92,0.4720
171.36,0.4760
172.8,0.4800
174.24,0.4840
175.68,0.4880
177.12,0.4920
178.56,0.4960
180,0.5000
181.44,0.5040
182.88,0.5080
184.32,0.5120
185.76,0.5160
187.2,0.5200
188.64,0.5240
190.08,0.5280
191.52,0.5320
192.96,0.5360
194.4,0.5400
195.84,0.5440
197.28,0.5480
198.72,0.5520
200.16,0.5560
201.6,0.5600
203.04,0.5640
204.48,0.5680
205.92,0.5720
207.36,0.5760
208.8,0.5800
210.24,0.5840
211.68,0.5880
213.12,0.5920
214.56,0.5960
216,0.6000
217.44,0.6040
218.88,0.6080
220.32,0.6120
221.76,0.6160
223.2,0.6200
224.64,0.6240
226.08,0.6280
227.52,0.6320
228.96,0.6360
230.4,0.6400
231.84,0.6440
233.28,0.6480
234.72,0.6520
236.16,0.6560
237.6,0.6600
239.04,0.6640
240.48,0.6680
241.92,0.6720
243.36,0.6760
244.8,0.6800
246.24,0.6840
247.68,0.6880
249.12,0.6920
250.56,0.6960
252,0.7000
253.44,0.7040
254.88,0.7080
256.32,0.7120
257.76,0.7160
259.2,0.7200
260.64,0.7240
262.08,0.7280
263.52,0.7320
264.96,0.7360
266.4,0.7400
267.84,0.7440
269.28,0.7480
270.72,0.7520
272.16,0.7560
273.6,0.7600
275.04,0.7640
276.48,0.7680
277.92,0.7720
279.36,0.7760
280.8,0.7800
282.24,0.7840
283.68,0.7880
285.12,0.7920
286.56,0.7960
288,0.8000
289.44,0.8040
290.88,0.8080
292.32,0.8120
293.76,0.8160
295.2,0.8200
296.64,0.8240
298.08,0.8280
299.52,0.8320
300.96,0.8360
302.4,0.8400
303.84,0.8440
305.28,0.8480
306.72,0.8520
308.16,0.8560
309.6,0.8600
311.04,0.8640
312.48,0.8680
313.92,0.8720
315.36,0.8760
316.8,0.8800
318.24,0.8840
319.68,0.8880
321.12,0.8920
322.56,0.8960
324,0.9000
325.44,0.9040
326.88,0.9080
328.32,0.9120
329.76,0.9160
331.2,0.9200
332.64,0.9240
334.08,0.9280
335.52,0.9320
336.96,0.9360
338.4,0.9400
339.84,0.9440
341.28,0.9480
342.72,0.9520
344.16,0.9560
345.6,0.9600
347.04,0.9640
348.48,0.9680
349.92,0.9720
351.36,0.9760
352.8,0.9800
354.24,0.9840
355.68,0.9880
357.12,0.9920
358.56,0.9960
360,0.0000
