Time,Amplitude
0,0.0000
0.000004,0.0251
0.000008,0.0502
0.000012,0.0753
0.000016,0.1004
0.00002,0.1253
0.000024,0.1502
0.000028,0.1750
0.000032,0.1997
0.000036,0.2243
0.00004,0.2487
0.000044,0.2730
0.000048,0.2970
0.000052,0.3209
0.000056,0.3446
0.00006,0.3681
0.000064,0.3914
0.000068,0.4144
0.000072,0.4371
0.000076,0.4596
0.00008,0.4818
0.000084,0.5036
0.000088,0.5252
0.000092,0.5464
0.000096,0.5673
0.0001,0.5878
0.000104,0.6079
0.000108,0.6277
0.000112,0.6471
0.000116,0.6660
0.00012,0.6845
0.000124,0.7026
0.000128,0.7203
0.000132,0.7375
0.000136,0.7543
0.00014,0.7705
0.000144,0.7863
0.000148,0.8016
0.000152,0.8163
0.000156,0.8306
0.00016,0.8443
0.000164,0.8575
0.000168,0.8702
0.000172,0.8823
0.000176,0.8938
0.00018,0.9048
0.000184,0.9152
0.000188,0.9251
0.000192,0.9343
0.000196,0.9430
0.0002,0.9511
0.000204,0.9585
0.000208,0.9654
0.000212,0.9716
0.000216,0.9773
0.00022,0.9823
0.000224,0.9867
0.000228,0.9905
0.000232,0.9936
0.000236,0.9961
0.00024,0.9980
0.000244,0.9993
0.000248,0.9999
0.000252,0.9999
0.000256,0.9993
0.00026,0.9980
0.000264,0.9961
0.000268,0.9936
0.000272,0.9905
0.000276,0.9867
0.00028,0.9823
0.000284,0.9773
0.000288,0.9716
0.000292,0.9654
0.000296,0.9585
0.0003,0.9511
0.000304,0.9430
0.000308,0.9343
0.000312,0.9251
0.000316,0.9152
0.00032,0.9048
0.000324,0.8938
0.000328,0.8823
0.000332,0.8702
0.000336,0.8575
0.00034,0.8443
0.000344,0.8306
0.000348,0.8163
0.000352,0.8016
0.000356,0.7863
0.00036,0.7705
0.000364,0.7543
0.000368,0.7375
0.000372,0.7203
0.000376,0.7026
0.00038,0.6845
0.000384,0.6660
0.000388,0.6471
0.000392,0.6277
0.000396,0.6079
0.0004,0.5878
0.000404,0.5673
0.000408,0.5464
0.000412,0.5252
0.000416,0.5036
0.00042,0.4818
0.000424,0.4596
0.000428,0.4371
0.000432,0.4144
0.000436,0.3914
0.00044,0.3681
0.000444,0.3446
0.000448,0.3209
0.000452,0.2970
0.000456,0.2730
0.00046,0.2487
0.000464,0.2243
0.000468,0.1997
0.000472,0.1750
0.000476,0.1502
0.00048,0.1253
0.000484,0.1004
0.000488,0.0753
0.000492,0.0502
0.000496,0.0251
0.0005,0.0000
0.000504,-0.0251
0.000508,-0.0502
0.000512,-0.0753
0.000516,-0.1004
0.00052,-0.1253
0.000524,-0.1502
0.000528,-0.1750
0.000532,-0.1997
0.000536,-0.2243
0.00054,-0.2487
0.000544,-0.2730
0.000548,-0.2970
0.000552,-0.3209
0.000556,-0.3446
0.00056,-0.3681
0.000564,-0.3914
0.000568,-0.4144
0.000572,-0.4371
0.000576,-0.4596
0.00058,-0.4818
0.000584,-0.5036
0.000588,-0.5252
0.000592,-0.5464
0.000596,-0.5673
0.0006,-0.5878
0.000604,-0.6079
0.000608,-0.6277
0.000612,-0.6471
0.000616,-0.6660
0.00062,-0.6845
0.000624,-0.7026
0.000628,-0.7203
0.000632,-0.7375
0.000636,-0.7543
0.00064,-0.7705
0.000644,-0.7863
0.000648,-0.8016
0.000652,-0.8163
0.000656,-0.8306
0.00066,-0.8443
0.000664,-0.8575
0.000668,-0.8702
0.000672,-0.8823
0.000676,-0.8938
0.00068,-0.9048
0.000684,-0.9152
0.000688,-0.9251
0.000692,-0.9343
0.000696,-0.9430
0.0007,-0.9511
0.000704,-0.9585
0.000708,-0.9654
0.000712,-0.9716
0.000716,-0.9773
0.00072,-0.9823
0.000724,-0.9867
0.000728,-0.9905
0.000732,-0.9936
0.000736,-0.9961
0.00074,-0.9980
0.000744,-0.9993
0.000748,-0.9999
0.000752,-0.9999
0.000756,-0.9993
0.00076,-0.9980
0.000764,-0.9961
0.000768,-0.9936
0.000772,-0.9905
0.000776,-0.9867
0.00078,-0.9823
0.000784,-0.9773
0.000788,-0.9716
0.000792,-0.9654
0.000796,-0.9585
0.0008,-0.9511
0.000804,-0.9430
0.000808,-0.9343
0.000812,-0.9251
0.000816,-0.9152
0.00082,-0.9048
0.000824,-0.8938
0.000828,-0.8823
0.000832,-0.8702
0.000836,-0.8575
0.00084,-0.8443
0.000844,-0.8306
0.000848,-0.8163
0.000852,-0.8016
0.000856,-0.7863
0.00086,-0.7705
0.000864,-0.7543
0.000868,-0.7375
0.000872,-0.7203
0.000876,-0.7026
0.00088,-0.6845
0.000884,-0.6660
0.000888,-0.6471
0.000892,-0.6277
0.000896,-0.6079
0.0009,-0.5878
0.000904,-0.5673
0.000908,-0.5464
0.000912,-0.5252
0.000916,-0.5036
0.00092,-0.4818
0.000924,-0.4596
0.000928,-0.4371
0.000932,-0.4144
0.000936,-0.3914
0.00094,-0.3681
0.000944,-0.3446
0.000948,-0.3209
0.000952,-0.2970
0.000956,-0.2730
0.00096,-0.2487
0.000964,-0.2243
0.000968,-0.1997
0.000972,-0.1750
0.000976,-0.1502
0.00098,-0.1253
0.000984,-0.1004
0.000988,-0.0753
0.000992,-0.0502
0.000996,-0.0251
0.001,0.0000
